,Unnamed: 0,company_name,ceo,founded,size,revenue,industry
227,26,Dedham,-1,-1,-1,-1,-1
228,27,ERM Group,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
229,28,US Bureau of Land Management,-1,-1,-1,-1,-1
230,29,General Motors,Mary T. Barra,1908,"more than 10,000",more than $10B (USD),Automotive
231,30,Microsoft,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
232,31,"Montrose Environmental Group, Inc.",-1,2012,"501 to 1,000",$5M to $25M (USD),Architectural & Engineering Services
233,32,Pratt & Whitney,Chris Calio,1925,"more than 10,000",more than $10B (USD),Electronics Manufacturing
234,33,The Nature Conservancy,"Jennifer Morris, Chief Executive Officer ",1951,"1001 to 5,000",$500M to $1B (USD),Nonprofit & NGO
235,34,MasterCard,-1,1966,"more than 10,000",$5B to $10B (USD),Financial Services
236,35,Forestry Department,-1,-1,-1,-1,"Forestry, Logging & Timber Operations"
237,36,University of Minnesota,Eric W. Kaler,1851,"more than 10,000",$1B to $5B (USD),Education
238,37,ALDI,-1,-1,"more than 10,000",more than $10B (USD),Retail & Wholesale
239,38,"Land O’Lakes, Inc.",-1,-1,-1,-1,-1
240,39,The Boston Consulting Group,Rich Lesser,1963,"more than 10,000",$500M to $1B (USD),Management & Consulting
241,40,Amazon.com Services LLC,Jeff Bezos,1994,"more than 10,000",more than $10B (USD),Information Technology
242,41,WestRock,Steve Voorhees,2015,"more than 10,000",more than $10B (USD),Manufacturing
243,42,Tuft & Needle,JT Marino & Daehee Park - Cofounders,2012,51 to 200,-1,Retail & Wholesale
244,43,Green Bay Packaging,"William F. Kress, President",1933,"1001 to 5,000",$500M to $1B (USD),Manufacturing
245,44,"Land O’Lakes, Inc.",-1,-1,-1,-1,-1
246,45,Curaleaf,-1,-1,-1,-1,Retail & Wholesale
247,46,Thornton Tomasetti.,-1,-1,-1,-1,-1
248,47,Imperfect Foods,Philip Behn,2015,"1001 to 5,000",less than $1M (USD),Manufacturing
249,48,City of Lowell,-1,1826,"1001 to 5,000",-1,Government & Public Administration
250,49,SWCA Environmental Consultants,-1,1981,"501 to 1,000",$100M to $500M (USD),Consulting and Business Services
251,50,Neiman Marcus,Geoffroy Van Raemdonck,1907,"1001 to 5,000",more than $10B (USD),Retail & Wholesale
252,51,Levi Strauss & Co.,-1,1853,"more than 10,000",$1B to $5B (USD),Retail & Wholesale
253,52,Southern Nevada Health District,-1,-1,"501 to 1,000",$25M to $100M (USD),Hospitals & Health Clinics
254,53,New Seasons Market,Forrest Hoffmaster,1999,"1001 to 5,000",$100M to $500M (USD),Retail & Wholesale
255,54,BSG,-1,-1,11 to 50,$1M to $5M (USD),-1
256,55,Universal Leaf Tobacco Co. Inc.,-1,-1,-1,-1,-1
257,56,Arcadia,Casey Journigan,1993,51 to 200,-1,Culture & Entertainment
258,57,Lazard Ltd.,Ken Jacobs,1978,"1001 to 5,000",$1B to $5B (USD),Financial Services
259,58,University of Washington,-1,-1,-1,-1,-1
260,59,The Port Authority of New York and New Jersey,-1,1921,"5,001 to 10,000",$1B to $5B (USD),Transportation & Logistics
261,60,Grainger,D.G. Macpherson,1927,"more than 10,000",more than $10B (USD),Manufacturing
262,61,Forestry Department,-1,-1,-1,-1,"Forestry, Logging & Timber Operations"
263,62,Jacobs,-1,-1,-1,-1,-1
264,63,GSK,Emma Walmsley,1830,"more than 10,000",more than $10B (USD),Healthcare
265,64,Fisker Inc,-1,-1,-1,-1,-1
266,65,Stryker Corporation,Kevin Lobo,1941,"more than 10,000",more than $10B (USD),Healthcare
267,66,Zeroshop.co,-1,-1,-1,-1,-1
268,67,AmeriCorps,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
269,68,GSK,Emma Walmsley,1830,"more than 10,000",more than $10B (USD),Healthcare
270,69,Barclays,-1,1690,"more than 10,000",more than $10B (USD),Financial Services
271,70,Duke Careers,-1,1838,"more than 10,000",$1B to $5B (USD),Education
272,71,Microsoft,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
273,72,The North Face,Steve Rendle,1966,"more than 10,000",$25M to $100M (USD),Retail & Wholesale
274,73,GSK,Emma Walmsley,1830,"more than 10,000",more than $10B (USD),Healthcare
275,74,ERM Group,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
276,75,University of Washington,-1,-1,-1,-1,-1
277,76,Jacobs,Steven J. Demetriou,1947,"more than 10,000",more than $10B (USD),Construction & Facilities Services
278,77,Amazon.com Services LLC,Jeff Bezos,1994,"more than 10,000",more than $10B (USD),Information Technology
279,78,Grainger,D.G. Macpherson,1927,"more than 10,000",more than $10B (USD),Manufacturing
280,79,Lazard Ltd.,Ken Jacobs,1978,"1001 to 5,000",$1B to $5B (USD),Financial Services
281,80,AmeriCorps,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
282,81,Fisker Inc,-1,-1,-1,-1,-1
283,82,Arcadia,Casey Journigan,1993,51 to 200,-1,Culture & Entertainment
284,83,GSK,Emma Walmsley,1830,"more than 10,000",more than $10B (USD),Healthcare
285,84,Stryker Corporation,Kevin Lobo,1941,"more than 10,000",more than $10B (USD),Healthcare
286,85,S&P Global,Douglas L. Peterson,-1,201 to 500,$25M to $100M (USD),Financial Services
287,86,"The State Education Resource Center (SERC),",-1,-1,-1,-1,-1
288,87,Healthstat,-1,2001,"501 to 1,000",$5M to $25M (USD),Healthcare
289,88,Nu Skin,-1,-1,-1,-1,-1
290,89,Stantec,Gord Johnston,1954,"more than 10,000",$1B to $5B (USD),"Energy, Mining & Utilities"
291,90,Nestle USA,Steve Presley,1866,"more than 10,000",more than $10B (USD),Manufacturing
292,91,The Earth Partners,-1,-1,-1,-1,-1
293,92,State of New Mexico,Michelle Lujan Grisham,-1,"more than 10,000",-1,Government & Public Administration
294,93,"CASCADIA CONSULTING GROUP, INC",-1,-1,11 to 50,$5M to $25M (USD),-1
295,94,University of Washington,Ana Mari Cauce,1861,"more than 10,000",$5M to $25M (USD),Education
296,95,Microsoft,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
297,96,Guidehouse,Scott McIntyre,1996,"1001 to 5,000",$1B to $5B (USD),Healthcare
298,97,McDonald's Corporate,Chris Kempczinski,1955,"more than 10,000",more than $10B (USD),Restaurants & Food Service
299,98,VF Corporation,Steve Rendle,1899,"more than 10,000",more than $10B (USD),Retail & Wholesale
300,99,Pottawattamie County,-1,-1,201 to 500,-1,Government & Public Administration
301,100,State of Arizona,Doug Ducey,-1,"more than 10,000",more than $10B (USD),Government & Public Administration
302,101,State of Nebraska,Governor Pete Ricketts,-1,"more than 10,000",-1,Government & Public Administration
303,102,Stantec,Gord Johnston,1954,"more than 10,000",$1B to $5B (USD),"Energy, Mining & Utilities"
304,103,"The State Education Resource Center (SERC),",-1,-1,-1,-1,-1
305,104,Anheuser-Busch,Carlos Brito,1852,"more than 10,000",more than $10B (USD),Retail & Wholesale
306,105,AmeriCorps,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
307,106,AstraZeneca,Pascal Soriot,1913,"more than 10,000",more than $10B (USD),Pharmaceutical
308,107,McDonald's Corporate,-1,-1,-1,-1,-1
309,108,McDonald's Corporate,Chris Kempczinski,1955,"more than 10,000",more than $10B (USD),Restaurants & Food Service
310,109,Nestle USA,Steve Presley,1866,"more than 10,000",more than $10B (USD),Manufacturing
311,110,Tetra Tech,Dan L. Batrack,1966,"more than 10,000",$1B to $5B (USD),Architectural & Engineering Services
312,111,Guidehouse,Scott McIntyre,1996,"1001 to 5,000",$1B to $5B (USD),Healthcare
313,112,United Nations,António Guterres,1945,"more than 10,000",-1,Nonprofit & NGO
314,113,"JELD-WEN, inc",Gary S Michel,1960,"more than 10,000",$1B to $5B (USD),Manufacturing
315,114,"Kennametal, Inc.",-1,1938,"more than 10,000",$1B to $5B (USD),Manufacturing
316,115,Rocky Mountain Institute,-1,-1,51 to 200,$25M to $100M (USD),Nonprofit & NGO
317,116,Truluck's,-1,1991,201 to 500,$1M to $5M (USD),Restaurants & Food Service
318,117,ONX,-1,2009,11 to 50,$1M to $5M (USD),Software Development
319,118,Cooper Carry,-1,-1,-1,-1,-1
320,119,"Amy's Kitchen, Inc.",-1,1988,"501 to 1,000",$100M to $500M (USD),Manufacturing
321,120,State of Washington Dept. of Commerce,-1,-1,-1,-1,-1
322,121,Filoli Historic House and Garden,-1,-1,-1,-1,-1
323,122,CBTS,-1,-1,-1,-1,Primary & Secondary Schools
324,123,High Meadow Farm,-1,-1,-1,-1,-1
325,124,Georgia State University,-1,-1,"5,001 to 10,000",$100M to $500M (USD),Education
326,125,BCD Travel Corporate,John Snyder,2006,"more than 10,000",more than $10B (USD),Information Technology Support Services
327,126,Loanpal,Hayes Barnard,2014,"501 to 1,000",-1,Financial Services
328,127,Evergreen State College,-1,1967,-1,-1,Education
329,128,Courtyard Los Angeles Westside,-1,-1,11 to 50,-1,Hotels & Travel Accommodation
330,129,Intel,Pat Gelsinger,1968,"more than 10,000",more than $10B (USD),Manufacturing
331,130,AmeriCorps,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
332,131,Google,Sundar Pichai,1998,"more than 10,000",more than $10B (USD),Information Technology
333,132,Bayer,Werner Baumann,1863,"more than 10,000",more than $10B (USD),Pharmaceutical & Biotechnology
334,133,Pfizer,"ALBERT BOURLA, DVM, PH.D.",1849,"more than 10,000",$5B to $10B (USD),Pharmaceutical & Biotechnology
335,134,"Metric Environmental, LLC",-1,-1,11 to 50,less than $1M (USD),-1
336,135,Washington River Protection Solutions (WRPS),-1,-1,-1,-1,-1
337,136,Scientific Research Corporation,-1,1988,"1001 to 5,000",$100M to $500M (USD),Aerospace & Defense
338,137,"Oceana, INC",-1,-1,-1,-1,Nursing Care Facilities
339,138,RTI International,"E. Wayne Holden, PhD",1958,"1001 to 5,000",$500M to $1B (USD),Pharmaceutical
340,139,Amazon.com Services LLC,Jeff Bezos,1994,"more than 10,000",more than $10B (USD),Information Technology
341,140,National Renewable Energy Laboratory,-1,1978,"1001 to 5,000",-1,Government & Public Administration
342,141,Logitech G,Bracken Darrell ,1981,"5,001 to 10,000",$1B to $5B (USD),Information Technology
343,142,GreenWorks Environmental,-1,-1,-1,-1,-1
344,143,Forestry Department,-1,-1,-1,-1,"Forestry, Logging & Timber Operations"
345,144,TC Transcontinental,FRANÇOIS OLIVIER,-1,"1001 to 5,000",$100M to $500M (USD),Manufacturing
346,145,University of Washington,Ana Mari Cauce,1861,"more than 10,000",$5M to $25M (USD),Education
347,146,River Valley Market Llc,-1,-1,-1,-1,-1
348,147,Stryker Corporation,Kevin Lobo,1941,"more than 10,000",more than $10B (USD),Healthcare
349,148,TRIUMPH CSR ACQUISITION LLC,-1,-1,-1,-1,Education
350,149,Tesla,Elon Musk,2003,"more than 10,000",$5B to $10B (USD),Manufacturing
351,150,Goodfair,-1,-1,-1,-1,-1
352,151,The Scotts Miracle-Gro Company,Jim Hagedorn,1868,"5,001 to 10,000",$1B to $5B (USD),Manufacturing
353,152,Tommy Bahama,-1,-1,-1,-1,-1
354,0,Tommy Bahama,佐々木貞夫,2012,"1001 to 5,000",$100M to $500M (USD),Retail & Wholesale
355,1,Rocky Mountain Institute,-1,-1,51 to 200,$25M to $100M (USD),Nonprofit & NGO
356,2,Truluck's,-1,1991,201 to 500,$1M to $5M (USD),Restaurants & Food Service
357,3,ONX,-1,2009,11 to 50,$1M to $5M (USD),Software Development
358,4,Cooper Carry,-1,-1,-1,-1,-1
359,5,"Amy's Kitchen, Inc.",-1,1988,"501 to 1,000",$100M to $500M (USD),Manufacturing
360,6,State of Washington Dept. of Commerce,-1,-1,-1,-1,-1
361,7,Filoli Historic House and Garden,-1,-1,-1,-1,-1
362,8,BRS,-1,-1,-1,-1,-1
363,9,TRIUMPH CSR ACQUISITION LLC,-1,-1,-1,-1,Education
364,10,SLR Consulting,-1,-1,-1,-1,-1
365,11,Google,Sundar Pichai,1998,"more than 10,000",more than $10B (USD),Information Technology
366,12,Sensata Technologies,"Jeff Cote, Chief Executive Officer & President",-1,"more than 10,000",$1B to $5B (USD),Manufacturing
367,13,WestRock,Steve Voorhees,2015,"more than 10,000",more than $10B (USD),Manufacturing
368,14,Peraton,Stu Shea,2017,"more than 10,000",$5B to $10B (USD),Aerospace & Defense
369,15,"Aqua America, Inc.",-1,1968,"1001 to 5,000",$500M to $1B (USD),"Energy, Mining & Utilities"
370,16,Thornton Tomasetti.,-1,-1,-1,-1,Consulting and Business Services
371,17,Barclays,-1,1690,"more than 10,000",more than $10B (USD),Financial Services
372,18,Fisker Inc,-1,-1,-1,-1,-1
373,19,Benson Hill,-1,-1,-1,-1,-1
374,20,Vista Outdoor,-1,2015,-1,-1,Manufacturing
375,21,"The Cadmus Group, Inc.",-1,-1,-1,-1,-1
376,22,AECOM,Michael S. Burke,2011,"more than 10,000",more than $10B (USD),Construction & Facilities Services
377,23,Argonne National Laboratory,-1,1946,less than 10,less than $1M (USD),Construction & Facilities Services
378,24,LIVEKINDLY,-1,-1,-1,-1,Advertising & Public Relations
379,25,The Hershey Company,-1,1894,"more than 10,000",$5B to $10B (USD),Retail & Wholesale
380,26,US Federal Highway Administration,-1,-1,-1,-1,-1
381,27,Invenergy,-1,2001,51 to 200,$25M to $100M (USD),"Energy, Mining & Utilities"
382,28,PayPal,Dan Schulman,1998,"more than 10,000",more than $10B (USD),Financial Services
383,29,Lion Electric,-1,-1,51 to 200,-1,Construction & Facilities Services
384,30,Johns Hopkins University,Ronald J. Daniels,1876,"more than 10,000",$1B to $5B (USD),Education
385,31,Kroger General Office,Rodney McMullen,-1,"more than 10,000",more than $10B (USD),Retail & Wholesale
386,32,Thrivent,Teresa (Terry) Rasmussen,1902,"5,001 to 10,000",$5B to $10B (USD),Insurance
387,33,Weeks Marine Inc.,-1,1934,"1001 to 5,000",$500M to $1B (USD),-1
388,34,Weston Foods,Luc Mongeau,1882,"5,001 to 10,000",$1B to $5B (USD),Retail & Wholesale
389,35,DCR- Water Supply & Protection,-1,-1,-1,-1,-1
390,36,World Wildlife Fund,Carter Roberts,1990,201 to 500,$100M to $500M (USD),Nonprofit & NGO
391,37,The Coca-Cola Company,James Quincey,1886,"more than 10,000",more than $10B (USD),Manufacturing
392,38,Benson Hill,-1,-1,-1,-1,-1
393,39,Vista Outdoor,-1,2015,-1,-1,Manufacturing
394,40,"The Cadmus Group, Inc.",-1,-1,-1,-1,-1
395,41,AECOM,Michael S. Burke,2011,"more than 10,000",more than $10B (USD),Construction & Facilities Services
396,42,Lufkin Industries,-1,-1,-1,-1,-1
397,43,The Port Authority of New York and New Jersey,-1,1921,"5,001 to 10,000",$1B to $5B (USD),Transportation & Logistics
398,44,Beyond Campus Innovations,-1,-1,less than 10,less than $1M (USD),Education
399,45,WestRock,Steve Voorhees,2015,"more than 10,000",more than $10B (USD),Manufacturing
400,46,Alcoa Corporation,-1,1888,"more than 10,000",more than $10B (USD),Manufacturing
401,47,"Rincon Consultants, Inc",John Dreher,1994,201 to 500,$25M to $100M (USD),Consulting and Business Services
402,48,ILIA Beauty,-1,-1,-1,-1,Beauty & Personal Accessories Stores
403,49,TRC Companies Inc,Christopher P. Vincze,1969,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
404,50,The Wonderful Company LLC,Stewart Resnick,1980,"5,001 to 10,000",$1B to $5B (USD),"Construction, Repair & Facilities Services"
405,51,Getinge,-1,-1,-1,-1,-1
406,52,GreenCitizen,-1,-1,-1,-1,Transportation & Logistics
407,53,Barclays,-1,1690,"more than 10,000",more than $10B (USD),Banks and Financial Services
408,54,Summersalt,-1,-1,-1,-1,-1
409,55,Microsoft,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
410,56,New Avenue,-1,-1,less than 10,less than $1M (USD),-1
411,57,Starbucks,Kevin Johnson,1971,"more than 10,000",more than $10B (USD),Restaurants & Food Service
412,58,Gartner,Gene Hall,1979,"more than 10,000",$1B to $5B (USD),Agriculture
413,59,EBP US,-1,-1,-1,-1,-1
414,60,"CASCADIA CONSULTING GROUP, INC",-1,-1,11 to 50,$5M to $25M (USD),-1
415,61,The Rock Creek Group,-1,-1,11 to 50,$5M to $25M (USD),-1
416,62,BD,Tom Polen ,1897,"more than 10,000",more than $10B (USD),Healthcare
417,63,FIBERTEC ENVIRONMENTAL SERVICES,-1,-1,-1,-1,Biotechnology
418,64,TC Transcontinental,FRANÇOIS OLIVIER,-1,"1001 to 5,000",$100M to $500M (USD),Manufacturing
419,65,"Meridian Consulting, LLC",-1,-1,-1,-1,-1
420,66,Eckberg Lammers,-1,-1,11 to 50,$1M to $5M (USD),-1
421,67,3M,Mike Roman,1902,"more than 10,000",more than $10B (USD),Manufacturing
422,68,University of Alabama at Birmingham,-1,-1,"more than 10,000",$1B to $5B (USD),Education
423,69,WestRock Devens,-1,-1,-1,-1,Wood & Paper Manufacturing
424,70,WestRock,-1,-1,-1,-1,-1
425,71,LANXESS,Matthias Zachert,2004,"more than 10,000",$5B to $10B (USD),Manufacturing
426,72,Lime,-1,-1,11 to 50,-1,Information Technology
427,73,ERM Group,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
428,74,"WeDriveU, Inc.",Dennis Carlson,1988,"1001 to 5,000",-1,Transportation & Logistics
429,75,Miller Coors,Gavin Hattersley,1774,"more than 10,000",$1B to $5B (USD),Manufacturing
430,76,Altura Associates,-1,-1,-1,-1,-1
431,77,Sealed Air Corporation,-1,1960,"more than 10,000",$1B to $5B (USD),Manufacturing
432,78,The Rector & Visitors of the University of Virgini...,-1,-1,-1,-1,-1
433,79,JM Huber Corporation,-1,-1,-1,-1,Manufacturing
434,80,ICF,John Wasson,1969,"5,001 to 10,000",$1B to $5B (USD),Management & Consulting
435,81,Indigo,Mr Serge CLEMENTE,-1,"1001 to 5,000",-1,Bars & Nightclubs
436,82,PepsiCo,Ramon Laguarta,1965,"more than 10,000",more than $10B (USD),Manufacturing
437,83,BOEING,David Calhoun,1916,"more than 10,000",more than $10B (USD),Aerospace & Defense
438,84,"Blackberry Farm, LLC",-1,2021,less than 10,less than $1M (USD),"Restaurants, Travel and Leisure"
439,85,Convent of the Sacred Heart,-1,1881,51 to 200,$5M to $25M (USD),-1
440,86,Caesars Entertainment,Tom Reeg,-1,"more than 10,000",$5B to $10B (USD),Restaurants & Food Service
441,87,New Leaf Community Markets,Wendy Collie,1985,"1001 to 5,000",$25M to $100M (USD),Retail & Wholesale
442,88,WestRock,Steve Voorhees,2015,"more than 10,000",more than $10B (USD),Manufacturing
443,89,The Wonderful Company LLC,Stewart Resnick,1980,"5,001 to 10,000",$1B to $5B (USD),"Construction, Repair & Facilities Services"
444,90,Harris Computer Systems,Jeff Bender,1976,"1001 to 5,000",$500M to $1B (USD),Information Technology
445,91,Wood Plc,Robin Watson,-1,"more than 10,000",more than $10B (USD),"Energy, Mining & Utilities"
