,ceo,founded,size,revenue,industry,Unnamed: 0,company_name
0,-1,-1,-1,-1,-1,0,Gedeon GRC Consulting
1,Timothy P. White,-1,"5,001 to 10,000",-1,Education,1,California State University
2,Jim Kavanaugh,1990,"1001 to 5,000",$5B to $10B (USD),Information Technology,2,"World Wide Technology, Inc."
3,-1,-1,-1,-1,-1,3,EME Consulting Engineering Group
4,-1,-1,-1,-1,-1,4,Indian Nations Council of Governments (INCOG)
5,-1,-1,-1,-1,-1,5,Universal Leaf Tobacco Co. Inc.
6,-1,-1,-1,-1,-1,6,"Studio School - Los Angeles, CA"
7,-1,-1,-1,-1,-1,7,Epsten Group
8,-1,-1,-1,-1,-1,8,"Home Innovation Research Labs, Inc."
9,-1,-1,-1,-1,-1,9,Onward Energy
10,-1,-1,-1,-1,-1,10,"Shenandoah Valley Organic, LLC"
11,-1,-1,-1,-1,-1,11,ima Design
12,-1,-1,-1,-1,Government & Public Administration,12,"City of Naples, FL"
13,-1,-1,-1,-1,-1,13,Benson Hill
14,-1,-1,-1,-1,-1,14,Cooper Carry
15,-1,-1,-1,-1,-1,15,US Surface Transportation Board
16,-1,-1,-1,-1,-1,16,"Land O’Lakes, Inc."
17,-1,-1,-1,-1,-1,17,Virgin Hyperloop
18,-1,-1,-1,-1,-1,18,US Architect of the Capitol
19,-1,-1,-1,-1,-1,19,Common Ground Food Co-op
20,-1,-1,-1,-1,-1,20,"Eastern Research Group, Inc."
21,-1,-1,-1,-1,-1,21,"The Cadmus Group, Inc."
22,-1,-1,-1,-1,-1,22,National Sustainable Agriculture Coalition
23,-1,-1,-1,-1,-1,23,University of MO-Columbia
24,-1,-1,-1,-1,-1,24,Goby Inc
25,-1,-1,-1,-1,-1,25,Aspiration Partners
26,-1,-1,-1,-1,-1,26,"Spirit Environmental, LLC"
27,-1,-1,-1,-1,-1,27,Charlotte's Web
28,-1,-1,-1,-1,-1,28,"City of Columbia, MO"
29,-1,2009,less than 10,less than $1M (USD),-1,29,"Partner Energy, Inc."
30,-1,-1,-1,-1,-1,30,"SI Group, Inc."
31,-1,-1,-1,-1,-1,31,Hamer Environmental
32,-1,-1,-1,-1,-1,32,Eiger Marketing
33,-1,-1,-1,-1,-1,33,Rinker Design Associates
34,-1,-1,-1,-1,-1,34,"Eastern Research Group, Inc."
35,-1,-1,-1,-1,-1,35,Hamer Environmental
36,-1,-1,-1,-1,-1,36,Lake Forest
37,-1,1853,"5,001 to 10,000",$1B to $5B (USD),Education,37,University of Florida
38,-1,-1,-1,-1,-1,38,Dedham
39,-1,-1,-1,-1,-1,39,US Bureau of Land Management
40,-1,-1,-1,-1,-1,40,"Land O’Lakes, Inc."
41,-1,-1,-1,-1,-1,41,"Land O’Lakes, Inc."
42,-1,-1,-1,-1,-1,42,Universal Leaf Tobacco Co. Inc.
43,-1,-1,-1,-1,-1,43,Fisker Inc
44,-1,-1,-1,-1,-1,44,Zeroshop.co
45,-1,-1,-1,-1,-1,45,Fisker Inc
46,-1,-1,-1,-1,-1,46,"The State Education Resource Center (SERC),"
47,-1,-1,-1,-1,-1,47,The Earth Partners
48,-1,-1,-1,-1,-1,48,"The State Education Resource Center (SERC),"
49,-1,-1,-1,-1,-1,49,Cooper Carry
50,-1,-1,-1,-1,-1,50,State of Washington Dept. of Commerce
51,-1,-1,-1,-1,-1,51,Filoli Historic House and Garden
52,-1,-1,-1,-1,-1,52,High Meadow Farm
53,-1,-1,"1001 to 5,000",$100M to $500M (USD),-1,53,Washington River Protection Solutions (WRPS)
54,-1,-1,-1,-1,-1,54,GreenWorks Environmental
55,-1,-1,-1,-1,-1,55,River Valley Market Llc
56,-1,-1,-1,-1,-1,56,Goodfair
57,-1,-1,-1,-1,-1,57,Cooper Carry
58,-1,-1,-1,-1,-1,58,State of Washington Dept. of Commerce
59,-1,-1,-1,-1,-1,59,Filoli Historic House and Garden
60,-1,-1,-1,-1,Commercial Equipment Services,60,BRS
61,-1,-1,-1,-1,-1,61,SLR Consulting
62,-1,-1,-1,-1,-1,62,Fisker Inc
63,-1,-1,-1,-1,-1,63,Benson Hill
64,-1,-1,-1,-1,-1,64,"The Cadmus Group, Inc."
65,-1,-1,-1,-1,-1,65,US Federal Highway Administration
66,-1,-1,-1,-1,-1,66,DCR- Water Supply & Protection
67,-1,-1,-1,-1,-1,67,Benson Hill
68,-1,-1,-1,-1,-1,68,"The Cadmus Group, Inc."
69,-1,-1,"501 to 1,000",-1,"Energy, Mining & Utilities",69,Lufkin Industries
70,-1,-1,-1,-1,-1,70,Summersalt
71,-1,-1,-1,-1,-1,71,EBP US
72,-1,-1,-1,-1,-1,72,"Meridian Consulting, LLC"
73,-1,-1,-1,-1,-1,73,Altura Associates
74,-1,-1,-1,-1,-1,74,The Rector & Visitors of the University of Virgini...
75,-1,-1,-1,-1,-1,75,Hart-to-Hart Farm & Education Center
76,-1,-1,-1,-1,-1,76,"Meridian Consulting, LLC"
77,-1,-1,-1,-1,-1,77,"Land O’Lakes, Inc."
78,-1,-1,-1,-1,-1,78,"PERIMETER SOLUTIONS, LP"
79,-1,-1,-1,-1,-1,79,Diocese of Saginaw
80,-1,-1,-1,-1,-1,80,ESC Polytech Consultants
81,-1,-1,-1,-1,-1,81,Oneida ESC Group
82,-1,-1,-1,-1,-1,82,Public Health Advocates
83,-1,-1,-1,-1,-1,83,David Energy
84,-1,-1,-1,-1,-1,84,Rinker Design Associates
85,-1,-1,-1,-1,-1,85,Council of the Great Lakes Region
86,-1,-1,-1,-1,-1,86,Rinker Design Associates
87,-1,-1,-1,-1,-1,87,Council of the Great Lakes Region
88,Sir Andrew Witty,1977,"more than 10,000",more than $10B (USD),Healthcare,88,UnitedHealth Group
89,-1,-1,-1,-1,-1,89,"Counterpart International, Inc."
90,-1,1898,"1001 to 5,000",$1B to $5B (USD),Education,90,Northeastern University
91,-1,-1,-1,-1,-1,91,Cleantech Group
92,-1,-1,-1,-1,-1,92,US Surface Transportation Board
93,-1,1972,"more than 10,000",$5B to $10B (USD),Manufacturing,93,Essilor
94,-1,-1,-1,-1,-1,94,River Valley Market Llc
95,-1,-1,-1,-1,-1,95,Goodfair
96,-1,-1,-1,-1,-1,96,"Land O’Lakes, Inc."
97,-1,-1,-1,-1,-1,97,Umatilla County
98,-1,-1,-1,-1,-1,98,"Sheladia Associates, Inc."
99,-1,-1,-1,-1,-1,99,Goby Inc
100,-1,-1,-1,-1,-1,100,LG Vehicle Components
101,-1,-1,less than 10,less than $1M (USD),-1,101,GreenPrint
102,-1,-1,-1,-1,-1,102,Hines
103,-1,-1,-1,-1,-1,103,Planta
